¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2330"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
213,1113¥ø»È¤E¦p,569.00,2000,0,,214,1113¥ø»È¤E¦p,570.00,1630,0 
215,1113¥ø»È¤E¦p,571.00,210,0,,216,1114¥ø»È¹Å¸q,566.00,5000,0 
217,1114¥ø»È¹Å¸q,569.00,1000,0,,218,1114¥ø»È¹Å¸q,570.00,1252,0 
219,1114¥ø»È¹Å¸q,571.00,1100,0,,220,1114¥ø»È¹Å¸q,572.00,10,0 
221,1115¥ø»È¤Ó¥­,566.00,1000,0,,222,1115¥ø»È¤Ó¥­,569.00,3035,0 
223,1115¥ø»È¤Ó¥­,570.00,15430,1000,,224,1115¥ø»È¤Ó¥­,571.00,3390,0 
225,1115¥ø»È¤Ó¥­,572.00,220,0,,226,1116¥ø»È«ÌªF,566.00,2000,0 
227,1116¥ø»È«ÌªF,570.00,1200,0,,228,1116¥ø»È«ÌªF,571.00,1430,1000 
229,1116¥ø»È«ÌªF,572.00,0,100,,230,1117¥ø»È¦Ë¥_,566.00,1000,0 
231,1117¥ø»È¦Ë¥_,569.00,16000,0,,232,1117¥ø»È¦Ë¥_,570.00,11235,1000 
233,1117¥ø»È¦Ë¥_,571.00,1170,0,,234,1117¥ø»È¦Ë¥_,572.00,30,2000 
235,1118¥ø»ÈÂ×­ì,569.00,1010,0,,236,1118¥ø»ÈÂ×­ì,570.00,3030,0 
237,1118¥ø»ÈÂ×­ì,571.00,740,100,,238,1118¥ø»ÈÂ×­ì,572.00,90,0 
239,1118¥ø»ÈÂ×­ì,573.00,100,0,,240,1119¥ø»È©£¤s,566.00,1000,0 
241,1119¥ø»È©£¤s,570.00,3063,0,,242,1119¥ø»È©£¤s,571.00,0,3000 
243,1119¥ø»È©£¤s,572.00,210,0,,244,111A¥ø»È¥Á¶¯,569.00,100,0 
245,111A¥ø»È¥Á¶¯,570.00,4086,0,,246,111A¥ø»È¥Á¶¯,571.00,4030,0 
247,111A¥ø»È¥Á¶¯,572.00,360,0,,248,111A¥ø»È¥Á¶¯,573.00,1000,0 
249,111B¥x¥ø«Ø¦¨,569.00,0,1000,,250,111B¥x¥ø«Ø¦¨,570.00,4040,1000 
251,111B¥x¥ø«Ø¦¨,571.00,6110,0,,252,111B¥x¥ø«Ø¦¨,572.00,50,0 
