¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2330"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
1159,5926¤¸´I¥|ºû,573.00,76,0,,1160,5927¤¸´IªL¶é,566.00,4000,0 
1161,5927¤¸´IªL¶é,569.00,5001,0,,1162,5927¤¸´IªL¶é,570.00,5616,0 
1163,5927¤¸´IªL¶é,571.00,284,0,,1164,5927¤¸´IªL¶é,572.00,352,0 
1165,5927¤¸´IªL¶é,573.00,1010,0,,1166,5928¤¸´I·s²ø,566.00,1000,0 
1167,5928¤¸´I·s²ø,569.00,1005,0,,1168,5928¤¸´I·s²ø,570.00,14564,3000 
1169,5928¤¸´I·s²ø,571.00,591,4000,,1170,5928¤¸´I·s²ø,572.00,852,0 
1171,5928¤¸´I·s²ø,573.00,3,0,,1172,5929¤¸´I¥x«n,569.00,1011,1000 
1173,5929¤¸´I¥x«n,570.00,8704,0,,1174,5929¤¸´I¥x«n,571.00,6616,0 
1175,5929¤¸´I¥x«n,572.00,577,0,,1176,5929¤¸´I¥x«n,573.00,450,0 
1177,592a¤¸´IªQ¼w,566.00,1000,1000,,1178,592a¤¸´IªQ¼w,569.00,3030,0 
1179,592a¤¸´IªQ¼w,570.00,7611,1000,,1180,592a¤¸´IªQ¼w,571.00,3330,0 
1181,592a¤¸´IªQ¼w,572.00,325,0,,1182,592a¤¸´IªQ¼w,573.00,75,0 
1183,592A¤¸´I½n«°,566.00,4000,0,,1184,592A¤¸´I½n«°,569.00,4005,0 
1185,592A¤¸´I½n«°,570.00,13168,1005,,1186,592A¤¸´I½n«°,571.00,7222,1 
1187,592A¤¸´I½n«°,572.00,241,0,,1188,592A¤¸´I½n«°,573.00,29,0 
1189,592b¤¸´IªO¾ô,566.00,9000,3000,,1190,592b¤¸´IªO¾ô,569.00,13260,0 
1191,592b¤¸´IªO¾ô,570.00,26437,3240,,1192,592b¤¸´IªO¾ô,571.00,8191,0 
1193,592b¤¸´IªO¾ô,572.00,585,0,,1194,592b¤¸´IªO¾ô,573.00,3,0 
1195,592B¤¸´I¥Ã©M,569.00,1020,0,,1196,592B¤¸´I¥Ã©M,570.00,12699,1000 
1197,592B¤¸´I¥Ã©M,571.00,6359,889,,1198,592B¤¸´I¥Ã©M,572.00,1613,0 
1199,592B¤¸´I¥Ã©M,573.00,123,0,,1200,592c¤¸´I¯Q¤é,569.00,2050,0 
1201,592c¤¸´I¯Q¤é,570.00,4521,0,,1202,592c¤¸´I¯Q¤é,571.00,1067,0 
1203,592c¤¸´I¯Q¤é,572.00,2375,1300,,1204,592c¤¸´I¯Q¤é,573.00,145,0 
1205,592C¤¸´I¼é¬w,566.00,4000,0,,1206,592C¤¸´I¼é¬w,569.00,1120,0 
1207,592C¤¸´I¼é¬w,570.00,8135,3000,,1208,592C¤¸´I¼é¬w,571.00,1698,1000 
1209,592C¤¸´I¼é¬w,572.00,2196,0,,1210,592C¤¸´I¼é¬w,573.00,100,0 
1211,592d¤¸´I©µ¥­,566.00,1000,0,,1212,592d¤¸´I©µ¥­,569.00,230,0 
1213,592d¤¸´I©µ¥­,570.00,3498,2000,,1214,592d¤¸´I©µ¥­,571.00,4195,150 
1215,592d¤¸´I©µ¥­,572.00,80,2000,,1216,592d¤¸´I©µ¥­,573.00,50,0 
1217,592D¤¸´I¤j©÷,566.00,6000,0,,1218,592D¤¸´I¤j©÷,569.00,2400,0 
1219,592D¤¸´I¤j©÷,570.00,55742,0,,1220,592D¤¸´I¤j©÷,571.00,9550,0 
1221,592D¤¸´I¤j©÷,572.00,639,5,,1222,592D¤¸´I¤j©÷,573.00,30,0 
1223,592e¤¸´I¥j«F,566.00,2000,0,,1224,592e¤¸´I¥j«F,569.00,1022,3000 
1225,592e¤¸´I¥j«F,570.00,5870,5000,,1226,592e¤¸´I¥j«F,571.00,2720,0 
1227,592e¤¸´I¥j«F,572.00,2630,0,,1228,592E¤¸´I«°¤¤,566.00,9000,0 
1229,592E¤¸´I«°¤¤,569.00,4032,0,,1230,592E¤¸´I«°¤¤,570.00,14856,10000 
1231,592E¤¸´I«°¤¤,571.00,2411,0,,1232,592E¤¸´I«°¤¤,572.00,1610,0 
1233,592E¤¸´I«°¤¤,573.00,70,1000,,1234,592g¤¸´I¤¤­ì,566.00,2000,0 
1235,592g¤¸´I¤¤­ì,569.00,4155,0,,1236,592g¤¸´I¤¤­ì,570.00,5018,0 
1237,592g¤¸´I¤¤­ì,571.00,3151,0,,1238,592g¤¸´I¤¤­ì,572.00,99,0 
1239,592g¤¸´I¤¤­ì,573.00,720,0,,1240,592G¤¸´I·s¦Ë,566.00,1000,1000 
1241,592G¤¸´I·s¦Ë,569.00,5130,0,,1242,592G¤¸´I·s¦Ë,570.00,9661,0 
1243,592G¤¸´I·s¦Ë,571.00,5815,1000,,1244,592G¤¸´I·s¦Ë,572.00,1522,0 
1245,592G¤¸´I·s¦Ë,573.00,80,0,,1246,592H¤¸´I«H¸q,566.00,3000,0 
1247,592H¤¸´I«H¸q,569.00,145,0,,1248,592H¤¸´I«H¸q,570.00,3863,1000 
1249,592H¤¸´I«H¸q,571.00,2060,0,,1250,592H¤¸´I«H¸q,572.00,780,0 
1251,592H¤¸´I«H¸q,573.00,110,0,,1252,592i¤¸´I¤¤´ä,566.00,3000,0 
1253,592i¤¸´I¤¤´ä,569.00,1025,0,,1254,592i¤¸´I¤¤´ä,570.00,4135,0 
1255,592i¤¸´I¤¤´ä,571.00,927,3,,1256,592i¤¸´I¤¤´ä,572.00,130,0 
1257,592I¤¸´I¹Å¸q,566.00,1000,1000,,1258,592I¤¸´I¹Å¸q,569.00,5091,1000 
1259,592I¤¸´I¹Å¸q,570.00,15982,3000,,1260,592I¤¸´I¹Å¸q,571.00,8379,10 
1261,592I¤¸´I¹Å¸q,572.00,1227,0,,1262,592I¤¸´I¹Å¸q,573.00,11,0 
1263,592l¤¸´I¤j¸Î,566.00,4000,0,,1264,592l¤¸´I¤j¸Î,569.00,4020,0 
1265,592l¤¸´I¤j¸Î,570.00,30259,5000,,1266,592l¤¸´I¤j¸Î,571.00,5831,0 
1267,592l¤¸´I¤j¸Î,572.00,2504,0,,1268,592l¤¸´I¤j¸Î,573.00,241,0 
1269,592L¤¸´I¤¤Ãc,566.00,1000,0,,1270,592L¤¸´I¤¤Ãc,569.00,11,0 
1271,592L¤¸´I¤¤Ãc,570.00,5983,0,,1272,592L¤¸´I¤¤Ãc,571.00,1492,100 
1273,592L¤¸´I¤¤Ãc,572.00,377,0,,1274,592m¤¸´I¦¨¥\,566.00,9000,0 
1275,592m¤¸´I¦¨¥\,569.00,5208,0,,1276,592m¤¸´I¦¨¥\,570.00,16070,3014 
1277,592m¤¸´I¦¨¥\,571.00,12495,1000,,1278,592m¤¸´I¦¨¥\,572.00,1068,1600 
1279,592m¤¸´I¦¨¥\,573.00,250,0,,1280,592M¤¸´I¹ü¤Æ,566.00,1000,0 
1281,592M¤¸´I¹ü¤Æ,569.00,2001,0,,1282,592M¤¸´I¹ü¤Æ,570.00,1632,150 
1283,592M¤¸´I¹ü¤Æ,571.00,1462,0,,1284,592M¤¸´I¹ü¤Æ,572.00,1165,0 
1285,592M¤¸´I¹ü¤Æ,573.00,60,0,,1286,592n¤¸´I¦èªQ,566.00,3000,0 
1287,592n¤¸´I¦èªQ,569.00,1110,0,,1288,592n¤¸´I¦èªQ,570.00,7829,0 
1289,592n¤¸´I¦èªQ,571.00,8140,0,,1290,592n¤¸´I¦èªQ,572.00,630,1034 
1291,592N¤¸´Iªê§À,566.00,2000,0,,1292,592N¤¸´Iªê§À,569.00,21,0 
1293,592N¤¸´Iªê§À,570.00,3946,0,,1294,592N¤¸´Iªê§À,571.00,5776,0 
1295,592N¤¸´Iªê§À,572.00,1414,1000,,1296,592N¤¸´Iªê§À,573.00,70,0 
1297,592o¤¸´I·s¿³,566.00,6000,0,,1298,592o¤¸´I·s¿³,570.00,4417,2485 
1299,592o¤¸´I·s¿³,571.00,4588,0,,1300,592o¤¸´I·s¿³,572.00,1107,0 
1301,592o¤¸´I·s¿³,573.00,2,1000,,1302,592P¤¸´I¦P¤j,566.00,4000,0 
1303,592P¤¸´I¦P¤j,569.00,3120,0,,1304,592P¤¸´I¦P¤j,570.00,12894,2 
1305,592P¤¸´I¦P¤j,571.00,4679,5,,1306,592P¤¸´I¦P¤j,572.00,2411,1000 
1307,592P¤¸´I¦P¤j,573.00,15,0,,1308,592q¤¸´I«ÌªF,566.00,5000,0 
1309,592q¤¸´I«ÌªF,569.00,2162,2000,,1310,592q¤¸´I«ÌªF,570.00,9448,0 
1311,592q¤¸´I«ÌªF,571.00,1972,14,,1312,592q¤¸´I«ÌªF,572.00,1497,0 
1313,592q¤¸´I«ÌªF,573.00,20,0,,1314,592Q¤¸´I´°«n,566.00,2000,2000 
1315,592Q¤¸´I´°«n,569.00,14020,2000,,1316,592Q¤¸´I´°«n,570.00,22262,0 
1317,592Q¤¸´I´°«n,571.00,19522,0,,1318,592Q¤¸´I´°«n,572.00,6566,0 
1319,592Q¤¸´I´°«n,573.00,0,100,,1320,592r¤¸´I«°ªF,566.00,2000,3000 
1321,592r¤¸´I«°ªF,569.00,6210,7000,,1322,592r¤¸´I«°ªF,570.00,26282,14000 
1323,592r¤¸´I«°ªF,571.00,9388,1000,,1324,592r¤¸´I«°ªF,572.00,4824,0 
1325,592r¤¸´I«°ªF,573.00,93,0,,1326,592S¤¸´I°ò¶©,566.00,2000,0 
1327,592S¤¸´I°ò¶©,569.00,1000,0,,1328,592S¤¸´I°ò¶©,570.00,2961,0 
1329,592S¤¸´I°ò¶©,571.00,2203,0,,1330,592S¤¸´I°ò¶©,572.00,70,0 
1331,592S¤¸´I°ò¶©,573.00,30,0,,1332,592u¤¸´I¥@¶T,566.00,4000,0 
1333,592u¤¸´I¥@¶T,569.00,9435,100,,1334,592u¤¸´I¥@¶T,570.00,13656,2000 
1335,592u¤¸´I¥@¶T,571.00,7356,0,,1336,592u¤¸´I¥@¶T,572.00,1762,0 
1337,592u¤¸´I¥@¶T,573.00,300,0,,1338,592U¤¸´I©yÄõ,566.00,2000,0 
1339,592U¤¸´I©yÄõ,569.00,6033,0,,1340,592U¤¸´I©yÄõ,570.00,2797,12 
1341,592U¤¸´I©yÄõ,571.00,491,225,,1342,592U¤¸´I©yÄõ,572.00,748,0 
1343,592U¤¸´I©yÄõ,573.00,46,0,,1344,592v¤¸´I®ç¶é,566.00,9000,0 
1345,592v¤¸´I®ç¶é,569.00,3197,0,,1346,592v¤¸´I®ç¶é,570.00,10517,1050 
1347,592v¤¸´I®ç¶é,571.00,15999,0,,1348,592v¤¸´I®ç¶é,572.00,765,0 
1349,592w¤¸´I¨Î¨½,566.00,2000,0,,1350,592w¤¸´I¨Î¨½,569.00,2050,0 
1351,592w¤¸´I¨Î¨½,570.00,7836,1000,,1352,592w¤¸´I¨Î¨½,571.00,2236,0 
1353,592w¤¸´I¨Î¨½,572.00,685,0,,1354,592W¤¸´I¦N§Q,566.00,4000,0 
1355,592W¤¸´I¦N§Q,569.00,202,1000,,1356,592W¤¸´I¦N§Q,570.00,3821,2000 
1357,592W¤¸´I¦N§Q,571.00,2684,1000,,1358,592W¤¸´I¦N§Q,572.00,641,0 
1359,592W¤¸´I¦N§Q,573.00,120,10,,1360,592X¤¸´I¯ó¤Ù,566.00,2000,0 
1361,592X¤¸´I¯ó¤Ù,569.00,17,0,,1362,592X¤¸´I¯ó¤Ù,570.00,10918,2100 
1363,592X¤¸´I¯ó¤Ù,571.00,2693,0,,1364,592X¤¸´I¯ó¤Ù,572.00,1356,0 
1365,592X¤¸´I¯ó¤Ù,573.00,205,0,,1366,592y¤¸´Iªá½¬,566.00,3000,0 
1367,592y¤¸´Iªá½¬,569.00,3000,0,,1368,592y¤¸´Iªá½¬,570.00,7078,0 
1369,592y¤¸´Iªá½¬,571.00,7068,100,,1370,592y¤¸´Iªá½¬,572.00,164,0 
1371,592y¤¸´Iªá½¬,573.00,140,0,,1372,592Y¤¸´I®H¨½,566.00,4000,0 
1373,592Y¤¸´I®H¨½,569.00,1110,0,,1374,592Y¤¸´I®H¨½,570.00,7164,50 
1375,592Y¤¸´I®H¨½,571.00,2481,0,,1376,592Y¤¸´I®H¨½,572.00,240,20 
1377,592Y¤¸´I®H¨½,573.00,0,40,,1378,592z¤¸´I¤å¤ß,566.00,6000,0 
1379,592z¤¸´I¤å¤ß,569.00,5040,1000,,1380,592z¤¸´I¤å¤ß,570.00,15180,20030 
1381,592z¤¸´I¤å¤ß,571.00,15838,11000,,1382,592z¤¸´I¤å¤ß,572.00,1543,3000 
1383,592z¤¸´I¤å¤ß,573.00,755,1000,,1384,592Z¤¸´I¦w«n,566.00,5000,0 
1385,592Z¤¸´I¦w«n,569.00,3151,0,,1386,592Z¤¸´I¦w«n,570.00,11066,2040 
1387,592Z¤¸´I¦w«n,571.00,693,0,,1388,592Z¤¸´I¦w«n,572.00,1563,0 
1389,592Z¤¸´I¦w«n,573.00,50,0,,1390,5960¤é    ­Z,566.00,1000,0 
1391,5960¤é    ­Z,569.00,2000,0,,1392,5960¤é    ­Z,570.00,8210,0 
1393,5960¤é    ­Z,571.00,2000,0,,1394,5961¤é­Z®H¨½,566.00,1000,0 
1395,5961¤é­Z®H¨½,570.00,1000,0,,1396,5962¤é­Z«n§ë,566.00,1000,0 
1397,5962¤é­Z«n§ë,569.00,2000,0,,1398,5962¤é­Z«n§ë,570.00,3200,0 
1399,6010¡¹    ¨È,566.00,1000,1000,,1400,6010¡¹    ¨È,569.00,0,2000 
1401,6010¡¹    ¨È,570.00,3000,1000,,1402,6010¡¹    ¨È,572.00,60,0 
1403,6012¡¹¨Èºô¸ô,566.00,3000,0,,1404,6012¡¹¨Èºô¸ô,569.00,1250,4000 
1405,6012¡¹¨Èºô¸ô,570.00,12761,3500,,1406,6012¡¹¨Èºô¸ô,571.00,3705,7000 
1407,6012¡¹¨Èºô¸ô,572.00,475,0,,1408,6012¡¹¨Èºô¸ô,573.00,80,0 
1409,601d™W¨ÈøÊÂ×,566.00,9000,0,,1410,601d™W¨ÈøÊÂ×,569.00,6358,93050 
1411,601d™W¨ÈøÊÂ×,570.00,38381,3147,,1412,601d™W¨ÈøÊÂ×,571.00,15987,88 
1413,601d™W¨ÈøÊÂ×,572.00,1988,1000,,1414,601d™W¨ÈøÊÂ×,573.00,195,0 
1415,6110¥x¤¤»È,566.00,4000,0,,1416,6110¥x¤¤»È,569.00,7075,0 
1417,6110¥x¤¤»È,570.00,20972,20000,,1418,6110¥x¤¤»È,571.00,26651,2190 
1419,6110¥x¤¤»È,572.00,4234,800,,1420,6110¥x¤¤»È,573.00,102,0 
1421,6114¤¤»È­ûªL,569.00,1178,0,,1422,6114¤¤»È­ûªL,570.00,8864,0 
1423,6114¤¤»È­ûªL,571.00,453,0,,1424,6114¤¤»È­ûªL,572.00,1347,1020 
1425,6114¤¤»È­ûªL,573.00,1,0,,1426,6115¤¤»È¥x¥_,566.00,1000,0 
1427,6115¤¤»È¥x¥_,569.00,3000,0,,1428,6115¤¤»È¥x¥_,570.00,394,1000 
1429,6115¤¤»È¥x¥_,571.00,1370,0,,1430,6115¤¤»È¥x¥_,572.00,1110,0 
1431,6115¤¤»È¥x¥_,573.00,20,0,,1432,6116¤¤»È°ª¶¯,566.00,1000,0 
1433,6116¤¤»È°ª¶¯,569.00,2,0,,1434,6116¤¤»È°ª¶¯,570.00,320,0 
1435,6116¤¤»È°ª¶¯,571.00,62,0,,1436,6116¤¤»È°ª¶¯,572.00,30,0 
1437,611A¤¤»ÈÂ×­ì,566.00,6000,0,,1438,611A¤¤»ÈÂ×­ì,569.00,3003,1000 
1439,611A¤¤»ÈÂ×­ì,570.00,14223,1000,,1440,611A¤¤»ÈÂ×­ì,571.00,3613,47 
1441,611A¤¤»ÈÂ×­ì,572.00,1520,0,,1442,611A¤¤»ÈÂ×­ì,573.00,12,0 
1443,6160¤¤°ê«H°U,566.00,109000,0,,1444,6160¤¤°ê«H°U,569.00,11333,104941 
1445,6160¤¤°ê«H°U,570.00,138649,65575,,1446,6160¤¤°ê«H°U,571.00,66209,67616 
1447,6160¤¤°ê«H°U,572.00,13953,40997,,1448,6160¤¤°ê«H°U,573.00,1285,21610 
1449,6161¤¤«H¤T­«,566.00,5000,0,,1450,6161¤¤«H¤T­«,569.00,6525,0 
1451,6161¤¤«H¤T­«,570.00,10360,2000,,1452,6161¤¤«H¤T­«,571.00,3027,0 
1453,6161¤¤«H¤T­«,572.00,1154,0,,1454,6161¤¤«H¤T­«,573.00,150,0 
1455,6162¤¤«H°U©¾,566.00,6000,0,,1456,6162¤¤«H°U©¾,569.00,6582,0 
1457,6162¤¤«H°U©¾,570.00,33270,29000,,1458,6162¤¤«H°U©¾,571.00,15526,40 
1459,6162¤¤«H°U©¾,572.00,3008,100,,1460,6162¤¤«H°U©¾,573.00,240,500 
1461,6163¤¤«H°U¥Ã,566.00,4000,0,,1462,6163¤¤«H°U¥Ã,569.00,4271,0 
1463,6163¤¤«H°U¥Ã,570.00,34606,1000,,1464,6163¤¤«H°U¥Ã,571.00,12828,804 
1465,6163¤¤«H°U¥Ã,572.00,4095,10,,1466,6163¤¤«H°U¥Ã,573.00,680,0 
1467,6164¤¤«H°U¤å,566.00,7000,0,,1468,6164¤¤«H°U¤å,569.00,4187,1020 
1469,6164¤¤«H°U¤å,570.00,24670,1500,,1470,6164¤¤«H°U¤å,571.00,15413,3060 
1471,6164¤¤«H°U¤å,572.00,2340,0,,1472,6164¤¤«H°U¤å,573.00,230,0 
1473,6165¤¤«H°U·s,566.00,8000,4000,,1474,6165¤¤«H°U·s,569.00,10774,1000 
1475,6165¤¤«H°U·s,570.00,30148,2000,,1476,6165¤¤«H°U·s,571.00,18516,1600 
1477,6165¤¤«H°U·s,572.00,5914,100,,1478,6165¤¤«H°U·s,573.00,520,0 
1479,6167¤¤«HªQ¦¿,566.00,9000,6000,,1480,6167¤¤«HªQ¦¿,569.00,4010,0 
1481,6167¤¤«HªQ¦¿,570.00,10437,8000,,1482,6167¤¤«HªQ¦¿,571.00,6130,0 
1483,6167¤¤«HªQ¦¿,572.00,1074,100,,1484,6168¤¤«H¹Å¸q,566.00,9000,2000 
1485,6168¤¤«H¹Å¸q,569.00,5162,1000,,1486,6168¤¤«H¹Å¸q,570.00,14701,0 
1487,6168¤¤«H¹Å¸q,571.00,4555,460,,1488,6168¤¤«H¹Å¸q,572.00,2573,0 
1489,6168¤¤«H¹Å¸q,573.00,313,0,,1490,616A¤¤«H¤¤Ãc,566.00,2000,0 
1491,616A¤¤«H¤¤Ãc,569.00,5385,0,,1492,616A¤¤«H¤¤Ãc,570.00,11073,1301 
1493,616A¤¤«H¤¤Ãc,571.00,4497,140,,1494,616A¤¤«H¤¤Ãc,572.00,852,1050 
1495,616A¤¤«H¤¤Ãc,573.00,155,1000,,1496,616K¤¤«H°U°ª,566.00,9000,1000 
1497,616K¤¤«H°U°ª,569.00,8534,1000,,1498,616K¤¤«H°U°ª,570.00,20778,5115 
1499,616K¤¤«H°U°ª,571.00,20671,85,,1500,616K¤¤«H°U°ª,572.00,3894,1360 
1501,616K¤¤«H°U°ª,573.00,555,60,,1502,6210·s ¦Ê ¤ý,566.00,14000,0 
1503,6210·s ¦Ê ¤ý,569.00,1202,1500,,1504,6210·s ¦Ê ¤ý,570.00,8554,9000 
1505,6210·s ¦Ê ¤ý,571.00,8409,42,,1506,6210·s ¦Ê ¤ý,572.00,660,3000 
1507,6210·s ¦Ê ¤ý,573.00,40,502,,1508,6380¥ú    ©M,566.00,5000,1000 
1509,6380¥ú    ©M,569.00,1475,0,,1510,6380¥ú    ©M,570.00,8100,3075 
1511,6380¥ú    ©M,571.00,4732,60,,1512,6380¥ú    ©M,572.00,1310,1000 
1513,6381¥ú©M·Ë´ò,569.00,1150,0,,1514,6381¥ú©M·Ë´ò,570.00,1990,3000 
1515,6381¥ú©M·Ë´ò,571.00,350,1000,,1516,6381¥ú©M·Ë´ò,572.00,1000,0 
1517,6381¥ú©M·Ë´ò,573.00,50,0,,1518,6382¥ú©M¥Ð¤¤,566.00,1000,0 
1519,6382¥ú©M¥Ð¤¤,569.00,2100,0,,1520,6382¥ú©M¥Ð¤¤,570.00,1718,0 
1521,6382¥ú©M¥Ð¤¤,571.00,865,0,,1522,6382¥ú©M¥Ð¤¤,572.00,140,0 
1523,6382¥ú©M¥Ð¤¤,573.00,40,0,,1524,6383¥ú©M©M¬ü,569.00,3000,0 
1525,6383¥ú©M©M¬ü,570.00,1370,0,,1526,6383¥ú©M©M¬ü,571.00,370,0 
1527,6383¥ú©M©M¬ü,572.00,1120,0,,1528,6385¥ú©Mªá¾Â,566.00,0,3000 
1529,6385¥ú©Mªá¾Â,569.00,2125,0,,1530,6385¥ú©Mªá¾Â,570.00,1367,0 
1531,6385¥ú©Mªá¾Â,571.00,252,0,,1532,6385¥ú©Mªá¾Â,572.00,2260,0 
1533,638A¥ú©M¹Å¸q,566.00,3000,0,,1534,638A¥ú©M¹Å¸q,569.00,1100,0 
1535,638A¥ú©M¹Å¸q,570.00,7160,0,,1536,638A¥ú©M¹Å¸q,571.00,4345,50 
1537,638A¥ú©M¹Å¸q,572.00,1100,0,,1538,638A¥ú©M¹Å¸q,573.00,5,0 
1539,638D¥ú©M°ª¶¯,566.00,1000,2000,,1540,638D¥ú©M°ª¶¯,569.00,1100,4000 
1541,638D¥ú©M°ª¶¯,570.00,7440,0,,1542,638D¥ú©M°ª¶¯,571.00,5670,0 
1543,638D¥ú©M°ª¶¯,572.00,150,0,,1544,6450¥Ã    ¥þ,566.00,1000,0 
1545,6450¥Ã    ¥þ,569.00,5010,0,,1546,6450¥Ã    ¥þ,570.00,6070,9000 
1547,6450¥Ã    ¥þ,571.00,4370,0,,1548,6450¥Ã    ¥þ,572.00,330,0 
1549,6451¥Ã¥þ«n®r,566.00,1000,1000,,1550,6451¥Ã¥þ«n®r,570.00,10785,50 
1551,6451¥Ã¥þ«n®r,571.00,9240,1004,,1552,6451¥Ã¥þ«n®r,572.00,20,0 
1553,6452¥Ã¥þ¤K¼w,566.00,3000,1000,,1554,6452¥Ã¥þ¤K¼w,570.00,5100,0 
1555,6452¥Ã¥þ¤K¼w,571.00,2100,0,,1556,6452¥Ã¥þ¤K¼w,572.00,100,0 
1557,6460¤j    ©÷,566.00,17000,1000,,1558,6460¤j    ©÷,569.00,32336,1000 
1559,6460¤j    ©÷,570.00,18667,3000,,1560,6460¤j    ©÷,571.00,9719,6020 
1561,6460¤j    ©÷,572.00,525,0,,1562,6461¤j©÷¾ðªL,566.00,3000,3000 
1563,6461¤j©÷¾ðªL,569.00,10000,0,,1564,6461¤j©÷¾ðªL,570.00,21576,4000 
1565,6461¤j©÷¾ðªL,571.00,27290,200,,1566,6461¤j©÷¾ðªL,572.00,2575,1000 
1567,6461¤j©÷¾ðªL,573.00,60,0,,1568,6462¤j©÷¦w±d,566.00,5000,2000 
1569,6462¤j©÷¦w±d,569.00,2100,0,,1570,6462¤j©÷¦w±d,570.00,8740,2000 
1571,6462¤j©÷¦w±d,571.00,7330,0,,1572,6462¤j©÷¦w±d,572.00,1260,0 
1573,6462¤j©÷¦w±d,573.00,69,0,,1574,6463¤j©÷·s¦Ë,566.00,2000,0 
1575,6463¤j©÷·s¦Ë,569.00,3000,0,,1576,6463¤j©÷·s¦Ë,570.00,6610,0 
1577,6463¤j©÷·s¦Ë,571.00,2790,0,,1578,6463¤j©÷·s¦Ë,572.00,671,0 
1579,6463¤j©÷·s¦Ë,573.00,0,1000,,1580,6464¤j©÷·s©±,566.00,10000,1000 
1581,6464¤j©÷·s©±,569.00,5107,1000,,1582,6464¤j©÷·s©±,570.00,33353,4010 
1583,6464¤j©÷·s©±,571.00,48345,4450,,1584,6464¤j©÷·s©±,572.00,6570,12000 
1585,6464¤j©÷·s©±,573.00,2060,0,,1586,6465¤j©÷®ç¶é,566.00,0,1000 
1587,6465¤j©÷®ç¶é,569.00,2300,1000,,1588,6465¤j©÷®ç¶é,570.00,11580,0 
1589,6465¤j©÷®ç¶é,571.00,2866,0,,1590,6465¤j©÷®ç¶é,572.00,190,0 
1591,6465¤j©÷®ç¶é,573.00,120,0,,1592,6480ºÖ    ¨¹,566.00,1000,0 
1593,6480ºÖ    ¨¹,569.00,1000,0,,1594,6480ºÖ    ¨¹,570.00,3180,0 
1595,6480ºÖ    ¨¹,571.00,2000,100000,,1596,6489ºÖ¨¹·s¦Ë,570.00,200,0 
1597,6489ºÖ¨¹·s¦Ë,572.00,1000,0,,1598,6620¤f ³U,570.00,0,1000 
1599,6620¤f ³U,571.00,3000,0,,1600,6910¼w    «H,566.00,2000,0 
1601,6910¼w    «H,569.00,3100,0,,1602,6910¼w    «H,570.00,1400,0 
1603,6910¼w    «H,571.00,3020,0,,1604,6910¼w    «H,572.00,150,0 
1605,6910¼w    «H,573.00,100,0,,1606,6912¼w«H¤¤¥¿,569.00,120,0 
1607,6912¼w«H¤¤¥¿,570.00,7480,2000,,1608,6912¼w«H¤¤¥¿,571.00,2055,0 
1609,6912¼w«H¤¤¥¿,572.00,75,0,,1610,6913¼w«H·sÀç,569.00,1000,0 
1611,6913¼w«H·sÀç,570.00,6130,0,,1612,6913¼w«H·sÀç,571.00,2000,0 
1613,6913¼w«H·sÀç,572.00,130,0,,1614,6915¼w«H©M¥­,566.00,2000,0 
1615,6915¼w«H©M¥­,569.00,2000,0,,1616,6915¼w«H©M¥­,570.00,5120,0 
1617,6915¼w«H©M¥­,571.00,1025,0,,1618,6915¼w«H©M¥­,572.00,100,0 
1619,6950ºÖ    ³Ó,566.00,3000,3000,,1620,6950ºÖ    ³Ó,569.00,9000,0 
1621,6950ºÖ    ³Ó,570.00,12430,0,,1622,6950ºÖ    ³Ó,571.00,10849,0 
1623,6950ºÖ    ³Ó,572.00,530,0,,1624,7000¥üÂ×,566.00,49000,3000 
1625,7000¥üÂ×,569.00,8010,21000,,1626,7000¥üÂ×,570.00,6700,23000 
1627,7000¥üÂ×,571.00,4170,27200,,1628,7000¥üÂ×,572.00,440,4000 
1629,7001¥üÂ×¹Å¸q,566.00,0,2000,,1630,7001¥üÂ×¹Å¸q,569.00,2225,0 
1631,7001¥üÂ×¹Å¸q,570.00,12357,0,,1632,7001¥üÂ×¹Å¸q,571.00,2849,40 
1633,7001¥üÂ×¹Å¸q,572.00,430,1000,,1634,7001¥üÂ×¹Å¸q,573.00,5,0 
1635,7003¥üÂ×¥x¤¤,566.00,11000,0,,1636,7003¥üÂ×¥x¤¤,569.00,16090,0 
1637,7003¥üÂ×¥x¤¤,570.00,11937,0,,1638,7003¥üÂ×¥x¤¤,571.00,5077,1000 
1639,7003¥üÂ×¥x¤¤,572.00,3812,0,,1640,7003¥üÂ×¥x¤¤,573.00,85,60 
1641,7005¥üÂ×¤¤´ä,566.00,4000,0,,1642,7005¥üÂ×¤¤´ä,569.00,4128,0 
1643,7005¥üÂ×¤¤´ä,570.00,21268,3000,,1644,7005¥üÂ×¤¤´ä,571.00,7787,1 
1645,7005¥üÂ×¤¤´ä,572.00,1465,1001,,1646,7005¥üÂ×¤¤´ä,573.00,160,0 
1647,7006¥üÂ×¥x«n,569.00,1105,0,,1648,7006¥üÂ×¥x«n,570.00,12871,1010 
1649,7006¥üÂ×¥x«n,571.00,10228,510,,1650,7006¥üÂ×¥x«n,572.00,698,0 
1651,7006¥üÂ×¥x«n,573.00,85,0,,1652,7007¥üÂ×¦Ë¥_,566.00,4000,0 
